millis,stamp,datetime,light,temp,vcc
195999, 1562112000, "2019/7/3 0:0:0", 605, 461.17, 2.21
197000, 1562112000, "2019/7/3 0:0:0", 395, 535.42, inf
197999, 1562112000, "2019/7/3 0:0:0", 497, 535.42, 16.81
198999, 1562112000, "2019/7/3 0:0:0", 482, 535.42, 20.11
200000, 1562112000, "2019/7/3 0:0:0", 580, 480.31, 2.65
200998, 1562112000, "2019/7/3 0:0:0", 487, 535.42, 34.13
201999, 1562112000, "2019/7/3 0:0:0", 446, 535.42, inf
202999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
203999, 1562112000, "2019/7/3 0:0:0", 260, 535.42, inf
204999, 1562112000, "2019/7/3 0:0:0", 578, 484.95, 3.91
206000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
206999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
207998, 1562112000, "2019/7/3 0:0:0", 478, 535.42, inf
208998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
209998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
210999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
211999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
213000, 1562112000, "2019/7/3 0:0:0", 10, 535.42, inf
213999, 1562112000, "2019/7/3 0:0:0", 138, 535.42, inf
214999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
215999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
216999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
217999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
218999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
219999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
220998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
222000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 7.08
222998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
224000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
224999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
225999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 21.66
226999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 375.47
227999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.98
229000, 1562112000, "2019/7/3 0:0:0", 7, 535.42, 3.18
229999, 1562112000, "2019/7/3 0:0:0", 23, 535.42, 2.62
231000, 1562112000, "2019/7/3 0:0:0", 156, 535.42, 1.86
231999, 1562112000, "2019/7/3 0:0:0", 63, 535.42, 2.11
232998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
233998, 1562112000, "2019/7/3 0:0:0", 70, 535.42, 2.08
234999, 1562112000, "2019/7/3 0:0:0", 396, 534.26, 1.89
235999, 1562112000, "2019/7/3 0:0:0", 200, 535.42, 1.96
236999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.52
238000, 1562112000, "2019/7/3 0:0:0", 575, 457.11, 1.94
238998, 1562112000, "2019/7/3 0:0:0", 303, 535.42, 1.95
240000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 1.92
240999, 1562112000, "2019/7/3 0:0:0", 419, 507.00, 1.92
241998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 8.28
243000, 1562112000, "2019/7/3 0:0:0", 526, 460.59, 1.90
243999, 1562112000, "2019/7/3 0:0:0", 246, 535.42, 1.89
244999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
245998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 5.69
247000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.01
247999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 23.97
248998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
249999, 1562112000, "2019/7/3 0:0:0", 86, 535.42, 2.00
250998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
252000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
252999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
254000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
254999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
256000, 1562112000, "2019/7/3 0:0:0", 227, 535.42, inf
256999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
257998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
259000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
259999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
260999, 1562112000, "2019/7/3 0:0:0", 199, 535.42, inf
261998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
262999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
263999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
264999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
265999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
266999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
267999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
268999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
270000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
270998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
272000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
272999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
273998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
275000, 1562112000, "2019/7/3 0:0:0", 49, 535.42, inf
275998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
277000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
277999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
279000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
280000, 1562112000, "2019/7/3 0:0:0", 555, 501.78, 5.14
280999, 1562112000, "2019/7/3 0:0:0", 154, 535.42, inf
281999, 1562112000, "2019/7/3 0:0:0", 455, 535.42, inf
282999, 1562112000, "2019/7/3 0:0:0", 360, 535.42, inf
284000, 1562112000, "2019/7/3 0:0:0", 405, 535.42, inf
284999, 1562112000, "2019/7/3 0:0:0", 489, 535.42, 53.64
285999, 1562112000, "2019/7/3 0:0:0", 474, 535.42, inf
286999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
288000, 1562112000, "2019/7/3 0:0:0", 406, 535.42, inf
288999, 1562112000, "2019/7/3 0:0:0", 599, 463.49, 2.49
289999, 1562112000, "2019/7/3 0:0:0", 252, 535.42, inf
290998, 1562112000, "2019/7/3 0:0:0", 290, 535.42, inf
291999, 1562112000, "2019/7/3 0:0:0", 459, 535.42, inf
293000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
293998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
295000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
295999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
296998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
297999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
298999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
299999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 51.20
300999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.13
302000, 1562112000, "2019/7/3 0:0:0", 132, 535.42, 1.91
302999, 1562112000, "2019/7/3 0:0:0", 66, 535.42, 2.06
304000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 5.03
304999, 1562112000, "2019/7/3 0:0:0", 566, 457.69, 1.88
305999, 1562112000, "2019/7/3 0:0:0", 567, 481.47, 3.99
306999, 1562112000, "2019/7/3 0:0:0", 592, 455.95, 1.88
307998, 1562112000, "2019/7/3 0:0:0", 426, 517.44, 1.85
308999, 1562112000, "2019/7/3 0:0:0", 598, 455.37, 1.89
309999, 1562112000, "2019/7/3 0:0:0", 592, 456.53, 1.92
311000, 1562112000, "2019/7/3 0:0:0", 593, 457.69, 1.93
312000, 1562112000, "2019/7/3 0:0:0", 611, 457.69, 1.86
312999, 1562112000, "2019/7/3 0:0:0", 584, 466.39, 2.77
313999, 1562112000, "2019/7/3 0:0:0", 579, 471.61, 3.16
314999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
315999, 1562112000, "2019/7/3 0:0:0", 497, 533.68, 24.49
316999, 1562112000, "2019/7/3 0:0:0", 597, 460.01, 2.24
318000, 1562112000, "2019/7/3 0:0:0", 116, 535.42, inf
318999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
319998, 1562112000, "2019/7/3 0:0:0", 399, 535.42, inf
320999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
321999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
322999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
323999, 1562112000, "2019/7/3 0:0:0", 129, 535.42, 1.87
324999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
325998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
326999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 5.96
327999, 1562112000, "2019/7/3 0:0:0", 78, 535.42, 1.97
328998, 1562112000, "2019/7/3 0:0:0", 289, 535.42, 1.89
330000, 1562112000, "2019/7/3 0:0:0", 135, 535.42, 1.87
330999, 1562112000, "2019/7/3 0:0:0", 600, 456.53, 1.88
331999, 1562112000, "2019/7/3 0:0:0", 597, 454.79, 1.88
332999, 1562112000, "2019/7/3 0:0:0", 599, 457.11, 1.92
334000, 1562112000, "2019/7/3 0:0:0", 583, 461.75, 1.95
334999, 1562112000, "2019/7/3 0:0:0", 586, 462.91, 1.92
336000, 1562112000, "2019/7/3 0:0:0", 599, 459.43, 1.89
336999, 1562112000, "2019/7/3 0:0:0", 591, 461.75, 2.15
337998, 1562112000, "2019/7/3 0:0:0", 569, 459.43, 2.26
339000, 1562112000, "2019/7/3 0:0:0", 611, 456.53, 1.87
339999, 1562112000, "2019/7/3 0:0:0", 563, 490.17, 4.35
340999, 1562112000, "2019/7/3 0:0:0", 552, 495.97, 4.92
341998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
343000, 1562112000, "2019/7/3 0:0:0", 308, 535.42, inf
344000, 1562112000, "2019/7/3 0:0:0", 590, 476.25, 3.47
344999, 1562112000, "2019/7/3 0:0:0", 194, 535.42, inf
345999, 1562112000, "2019/7/3 0:0:0", 205, 535.42, inf
346999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
348000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
348998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
350000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
350999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 1.90
352000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
353000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
353999, 1562112000, "2019/7/3 0:0:0", 9, 535.42, 2.95
354999, 1562112000, "2019/7/3 0:0:0", 221, 535.42, 1.87
355999, 1562112000, "2019/7/3 0:0:0", 587, 455.95, 1.89
357000, 1562112000, "2019/7/3 0:0:0", 597, 454.79, 1.87
357999, 1562112000, "2019/7/3 0:0:0", 595, 455.95, 1.90
359000, 1562112000, "2019/7/3 0:0:0", 610, 455.37, 1.85
359999, 1562112000, "2019/7/3 0:0:0", 592, 460.01, 2.39
360999, 1562112000, "2019/7/3 0:0:0", 500, 531.36, 23.97
361999, 1562112000, "2019/7/3 0:0:0", 602, 462.91, 2.61
362998, 1562112000, "2019/7/3 0:0:0", 65, 535.42, inf
364000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
364999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
365999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
366998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
367998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
368999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
369999, 1562112000, "2019/7/3 0:0:0", 601, 455.95, 1.88
370999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
371998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
373000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 20.11
373999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
374999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
375999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
376998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
378000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
378998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 27.47
379999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
380998, 1562112000, "2019/7/3 0:0:0", 492, 535.42, 160.91
381999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
382998, 1562112000, "2019/7/3 0:0:0", 389, 535.42, inf
384000, 1562112000, "2019/7/3 0:0:0", 604, 460.01, 2.28
384999, 1562112000, "2019/7/3 0:0:0", 560, 477.99, 3.72
385999, 1562112000, "2019/7/3 0:0:0", 583, 461.75, 2.57
387000, 1562112000, "2019/7/3 0:0:0", 607, 455.95, 1.89
387999, 1562112000, "2019/7/3 0:0:0", 592, 457.69, inf
388999, 1562112000, "2019/7/3 0:0:0", 585, 456.53, 1.94
389998, 1562112000, "2019/7/3 0:0:0", 480, 487.27, 1.88
391000, 1562112000, "2019/7/3 0:0:0", 596, 456.53, 1.89
391999, 1562112000, "2019/7/3 0:0:0", 591, 455.95, 1.90
392998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 5.55
393999, 1562112000, "2019/7/3 0:0:0", 140, 535.42, 1.89
394999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 3.55
396000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
